Date, Weight
4.22, 56.8
4.23, 57.6
4.24, 57.2
4.25, 56.3
4.26, 55.9
4.27, 55.9
4.28, 55
5.1, 57.4
5.2, 56.2
5.3, 55.2
5.4, 57
5.6, 56.8
5.7, 57.6
5.8, 58
5.9, 57.6
5.10, 59
5.11, 58.3
5.13, 58.3
5.14, 56.2
6.13, 56.5
6.15, 54.2
6.16, 54.5
6.17, 54.8
6.18, 55.7
6.19, 55.3
6.20, 55
6.21, 54.4
6.22, 53
6.23, 54.1
6.24, 55
6.25, 54.4
6.26, 54.5
6.27, 54.3
6.29, 54.3
6.30, 55.4
7.1, 55.3
7.2, 53.8
7.3, 52.9
7.4, 52.5
7.5, 52.2
7.10, 53.2
7.11, 52.9
7.13, 53.3
7.14, 53.1
7.15, 53.5
7.16, 52.3
7.17, 51.4
7.18, 50.8
7.19, 50.8
7.20, 51.7
7.21, 53.8
7.22, 53.2
7.27, 54
7.28, 54
8.8, 54
8.9, 53.4
8.10, 53.3
8.11, 55
8.12, 56.5
8.13, 55.4
8.15, 56.9
8.17, 57
8.18, 57.4
8.19, 55.8
8.20, 55
8.21, 55.3
8.22, 54.7
8.23, 54.6
8.26, 53.3
8.27, 53.7
8.28, 52.6
8.29, 52.6
8.31, 53.4
9.1, 53.2
9.2, 52.5
9.3, 51.8
9.4, 52
9.5, 51.7
9.6, 52.9
9.7, 53.1
9.8, 52.9
9.9, 52.9
9.10, 52.6
9.11, 52.2
9.12, 52.2
9.13, 52.2
9.14, 50.9
9.15, 52.1
9.16, 52.1
9.17, 52.3
9.18, 52.6
9.19, 51.7
9.20, 50.6
9.21, 50
9.22, 50.6
9.23, 50.9
9.24, 51.2
9.26, 51.5
9.27, 50.1
9.28, 50.9
9.29, 51.1
9.30, 51.3
10.1, 50.6
10.2, 51.6
10.3, 51.4
10.4, 51.6
10.5, 52.2
10.6, 52.4
10.7, 52.7
10.8, 51.2
10.9, 51
10.10, 50.7
10.11, 51.4
10.12, 49.9
10.13, 50.5
10.14, 49.9
10.15, 49.8
